                         descentEST_SPT                descentEST_LRPT               
instance size  best      runtime makespan ecart        runtime makespan ecart        
aaa1     2x3     11           21       11   0,0              3       11   0,0        
ft06     6x6     55           24       59   7,3              6       57   3,6        
ft10     10x10  930           86     1146  23,2              4     1113  19,7        
ft20     20x5  1165           25     1545  32,6              4     1501  28,8        
la01     10x5   666            2      790  18,6              4      695   4,4        
la06     15x5   926           32     1030  11,2              2      926   0,0        
la09     15x5   951           16     1088  14,4              4      964   1,4        
la11     20x5  1222           10     1450  18,7              2     1222   0,0        
la21     15x10 1046           33     1319  26,1              8     1260  20,5        
la26     20x10 1218           41     1572  29,1            112     1370  12,5        
la40     15x15 1222           24     1848  51,2             15     1358  11,1        
swv01    20x10 1407           28     2080  47,8             24     1935  37,5        
swv11    50x10 2991          126     4553  52,2             20     4398  47,0        
ta30     20x20 1584          162     2093  32,1             56     1853  17,0        
ta35     30x15 2007           74     2606  29,8             45     2221  10,7        
ta41     30x20 2018          100     2779  37,7             71     2571  27,4        
ta60     50x15 2723          104     3475  27,6             15     3070  12,7        
ta70     50x20 2995          531     4323  44,3            110     3532  17,9        
AVG      -        -         79,9        -  28,0           28,1        -  15,1        
