                         descentLPT                    descentSRPT                   
instance size  best      runtime makespan ecart        runtime makespan ecart        
aaa1     2x3     11           23       11   0,0              4       11   0,0        
ft06     6x6     55           23       78  41,8              8       71  29,1        
ft10     10x10  930           71     1377  48,1             22     1187  27,6        
ft20     20x5  1165           58     1462  25,5             19     1521  30,6        
la01     10x5   666           12      736  10,5              7     1376 106,6        
la06     15x5   926           28     1325  43,1             34     1343  45,0        
la09     15x5   951           23     1340  40,9             21     1420  49,3        
la11     20x5  1222           22     1780  45,7             26     1729  41,5        
la21     15x10 1046           41     2263 116,3             40     1707  63,2        
la26     20x10 1218          148     2447 100,9             87     1959  60,8        
la40     15x15 1222          137     2956 141,9            125     2813 130,2        
swv01    20x10 1407          116     2394  70,1             46     2074  47,4        
swv06    20x15 1678          258     3250  93,7             95     2494  48,6        
swv11    50x10 2991          980     5788  93,5            288     5052  68,9        
ta30     20x20 1584          467     5520 248,5            121     3699 133,5        
ta35     30x15 2007          866     4101 104,3            598     4461 122,3        
ta60     50x15 2723         1054     8156 199,5            638     5661 107,9        
ta70     50x20 2995         1113    13201 340,8           1100    14024 368,2        
AVG      -        -        302,2        -  98,1          182,2        -  82,3        
