                         descentSPT                    descentLRPT                   
instance size  best      runtime makespan ecart        runtime makespan ecart        
aaa1     2x3     11           24       11   0,0              4       11   0,0        
ft06     6x6     55           28       77  40,0             16       63  14,5        
ft10     10x10  930          107     1713  84,2             17     1204  29,5        
ft20     20x5  1165           63     1571  34,8             18     1853  59,1        
la01     10x5   666           15     1084  62,8             14      731   9,8        
la06     15x5   926           53     1158  25,1             18      926   0,0        
la09     15x5   951           20     1651  73,6             12     1037   9,0        
la11     20x5  1222           44     1552  27,0             24     1269   3,8        
la21     15x10 1046           83     2231 113,3             18     1306  24,9        
la26     20x10 1218          239     2584 112,2             29     1585  30,1        
la40     15x15 1222          139     2716 122,3             41     1668  36,5        
swv01    20x10 1407           60     2662  89,2             55     2406  71,0        
swv11    50x10 2991         1014     5861  96,0            116     5486  83,4        
ta30     20x20 1584          591     4882 208,2            244     2066  30,4        
ta35     30x15 2007          687     4766 137,5            244     2760  37,5        
ta41     30x20 2018         1033     7206 257,1            434     2890  43,2        
ta60     50x15 2723         1046     8974 229,6            859     3804  39,7        
ta70     50x20 2995         1147    14517 384,7            555     4572  52,7        
AVG      -        -        355,2        - 116,5          151,0        -  32,0        
