                         greedyEST_SPT                 greedyEST_LRPT                
instance size  best      runtime makespan ecart        runtime makespan ecart        
aaa1     2x3     11           12       11   0,0              0       11   0,0        
ft06     6x6     55            1       67  21,8              2       60   9,1        
ft10     10x10  930            3     1295  39,2              2     1113  19,7        
ft20     20x5  1165            3     1621  39,1              3     1501  28,8        
la01     10x5   666            2      792  18,9              1      735  10,4        
la06     15x5   926            2     1125  21,5              1      926   0,0        
la09     15x5   951            1     1183  24,4              2     1015   6,7        
la11     20x5  1222            2     1467  20,0              2     1223   0,1        
la21     15x10 1046            1     1451  38,7              2     1278  22,2        
la26     20x10 1218            2     1643  34,9              2     1426  17,1        
la40     15x15 1222            1     1856  51,9              2     1369  12,0        
swv01    20x10 1407            2     2145  52,5              1     1988  41,3        
swv06    20x15 1678            2     2542  51,5              1     2185  30,2        
swv11    50x10 2991            4     4639  55,1              3     4410  47,4        
ta30     20x20 1584            2     2218  40,0              2     1944  22,7        
ta35     30x15 2007            3     2678  33,4              2     2253  12,3        
ta41     30x20 2018            3     2881  42,8              3     2649  31,3        
ta60     50x15 2723            4     3527  29,5              5     3070  12,7        
ta70     50x20 2995            7     4390  46,6              7     3585  19,7        
AVG      -        -          3,0        -  34,8            2,3        -  18,1        
