                         greedyLPT                     greedySRPT                    
instance size  best      runtime makespan ecart        runtime makespan ecart        
aaa1     2x3     11            7       16  45,5              0       14  27,3        
ft06     6x6     55            2      108  96,4              1       85  54,5        
ft10     10x10  930            3     2569 176,2              4     1283  38,0        
ft20     20x5  1165            3     2765 137,3              2     1693  45,3        
la01     10x5   666            1     1464 119,8              1     1532 130,0        
la06     15x5   926            1     2372 156,2              2     2146 131,7        
la09     15x5   951            3     2638 177,4              1     2256 137,2        
la11     20x5  1222            1     3091 152,9              1     2958 142,1        
la21     15x10 1046            1     4968 375,0              4     2520 140,9        
la26     20x10 1218            2     6765 455,4              1     3221 164,4        
la40     15x15 1222            1     6098 399,0              2     5355 338,2        
swv01    20x10 1407            1     4190 197,8              1     2644  87,9        
swv06    20x15 1678            2     6420 282,6              2     3126  86,3        
swv11    50x10 2991            4    10555 252,9              2     6790 127,0        
ta30     20x20 1584            1    10367 554,5              2     5123 223,4        
ta35     30x15 2007            2    10985 447,3              2    10695 432,9        
ta41     30x20 2018            4    18114 797,6              6    15119 649,2        
ta60     50x15 2723           14    19647 621,5              6     9972 266,2        
ta70     50x20 2995            9    25178 740,7              7    27624 822,3        
AVG      -        -          3,3        - 325,6            2,5        - 212,9        
