                         greedySPT                     greedyLRPT                    
instance size  best      runtime makespan ecart        runtime makespan ecart        
aaa1     2x3     11           10       14  27,3              0       16  45,5        
ft06     6x6     55            1      133 141,8              1       87  58,2        
ft10     10x10  930            5     2860 207,5              4     1494  60,6        
ft20     20x5  1165            2     2603 123,4              3     2333 100,3        
la01     10x5   666            1     1996 199,7              1     1033  55,1        
la06     15x5   926            1     2511 171,2              1     1280  38,2        
la09     15x5   951            1     2332 145,2              1     1364  43,4        
la11     20x5  1222            0     3262 166,9              1     1826  49,4        
la21     15x10 1046            1     5595 434,9              2     1509  44,3        
la26     20x10 1218            2     5103 319,0              1     1935  58,9        
la40     15x15 1222            1     7428 507,9              2     2183  78,6        
swv01    20x10 1407            1     4386 211,7              2     3177 125,8        
swv06    20x15 1678            2     7715 359,8              2     3448 105,5        
swv11    50x10 2991            6    11999 301,2              4     6635 121,8        
ta30     20x20 1584            2    12074 662,2              3     2622  65,5        
ta35     30x15 2007            3    12848 540,2              3     3213  60,1        
ta41     30x20 2018            4    19546 868,6              6     3640  80,4        
ta60     50x15 2723            5    22354 720,9              4     5202  91,0        
ta70     50x20 2995            7    30468 917,3              7     5709  90,6        
AVG      -        -          2,9        - 369,8            2,5        -  72,3        
